MCC,MNC,LAC,CI,Timestamp,Latitude,Longitude,HorizontalAccuracy,Altitude,VerticalAccuracy,Speed,Course,Confidence,Timestamp (GMT/UTC),Timestamp (EDT)
310,410,7985,193790499,363198766.1,38.88124287,-77.11425292,1848,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,0,363198766.1,38.88070392,-77.11642885,2876,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160078019,363198766.1,38.87756633,-77.11456024,3590,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,10019,28455,363198766.1,38.8775466,-77.11485838,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194183585,363198766.1,38.8811993,-77.1159535,4116,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194220834,363198766.1,38.87795484,-77.11637234,2371,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160642132,363198766.1,38.8778882,-77.11269944,2264,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,10019,28452,363198766.1,38.8783335,-77.11705225,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,10019,516,363198766.1,38.87828737,-77.1170755,2231,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160386108,363198766.1,38.88109433,-77.11667895,2278,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158474603,363198766.1,38.87981969,-77.1175276,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158140535,363198766.1,38.87981969,-77.11759203,1961,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194199217,363198766.1,38.8818227,-77.11391144,2492,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193753289,363198766.1,38.87831741,-77.11191517,3916,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160420885,363198766.1,38.88175117,-77.11334109,2177,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194220837,363198766.1,38.87711566,-77.11366188,2599,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7997,158484627,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7997,158484621,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7997,158484624,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160464920,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7997,158474600,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158587935,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,187243233,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,187367817,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,187368679,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,54133,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,187236497,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
